
=== THROUGHPUT: cost of reflecting device movement ===

          N  supercluster rebuild (ms)  netcluster build (ms)  netcluster move (us)  moves/s  fast path %  probes/move  speedup vs rebuild
  ---------  -------------------------  ---------------------  --------------------  -------  -----------  -----------  ------------------
     10,000                       29.1                   24.7                  1.59  628,563          100         28.4             18,270x
    100,000                      181.8                  176.6                  1.42  705,322           99         21.9            128,262x
  1,000,000                    1,588.3                2,327.5                  2.95  338,661           93         21.4            537,896x

=== VIEWPORT QUERY (Sao Paulo metro, ~1 screen) ===

          N  zoom  sc clusters  nc clusters  sc query (ms)  nc query (ms)
  ---------  ----  -----------  -----------  -------------  -------------
     10,000     6            1            1          0.003          0.008
     10,000    10          128          119          0.024           0.02
     10,000    14          475          474          0.023          0.029
    100,000     6            1            1          0.002          0.003
    100,000    10          144          148          0.025          0.018
    100,000    14         4355         4312          0.183          0.228
  1,000,000     6            1            1              0          0.003
  1,000,000    10          147          150          0.021          0.023
  1,000,000    14        23329        23135          3.318          2.506
